'id_car_serie','id_car_model','id_car_generation','name','date_create','date_update','id_car_type'
'63187','1366','123298','Седан','1586859850','1586859850','1'
'63188','1371','126974','Компактвэн','1586859850','1586859850','1'
'63189','1391','123320','Седан','1586859852','1586859852','1'
'63190','2130','125821','Седан','1586859853','1586859853','1'
'63191','2130','126688','Седан','1586859853','1586859853','1'
'63192','1346','127011','Тарга','1586859901','1586859901','1'
'63193','1348','123366','Купе','1586859901','1586859901','1'
'63194','1352','126790','Купе','1586859902','1586859902','1'
'63195','1353','127012','Купе','1586859902','1586859902','1'
'63196','22873','123381','Седан','1586859903','1586859903','1'
'63197','22873','123382','Седан','1586859903','1586859903','1'
'63198','2243','123386','Минивэн','1586859904','1586859904','1'
'63199','1365','123387','Седан','1586859904','1586859904','1'
'63200','1368','125901','Седан','1586859904','1586859904','1'
'63201','22874','123404','Минивэн','1586859905','1586859905','1'
'63202','22874','123405','Минивэн','1586859905','1586859905','1'
'63203','22876','123412','Тарга','1586859906','1586859906','1'
'63204','20444','123427','Минивэн','1586859907','1586859907','1'
'63205','20444','123428','Минивэн','1586859907','1586859907','1'
'63206','1384','123434','Минивэн','1586859908','1586859908','1'
'63207','20451','126703','Седан','1586859908','1586859908','1'
'63208','20454','123442','Минивэн','1586859909','1586859909','1'
'63209','22877','123446','Микровэн','1586859912','1586859912','1'
'63210','22877','123447','Микровэн','1586859912','1586859912','1'
'63211','22877','123448','Микровэн','1586859912','1586859912','1'
'63212','22877','123449','Микровэн','1586859912','1586859912','1'
'63213','22877','123450','Микровэн','1586859912','1586859912','1'
'63214','20457','126704','Минивэн','1586859912','1586859912','1'
'63215','20457','123451','Минивэн','1586859913','1586859913','1'
'63216','2136','123472','Седан','1586859920','1586859920','1'
'63217','2136','123473','Седан','1586859920','1586859920','1'
'63218','2144','123475','Минивэн','1586859961','1586859961','1'
'63219','2144','123476','Минивэн','1586859961','1586859961','1'
'63220','2145','123477','Седан','1586859961','1586859961','1'
'63221','1422','123480','Седан','1586859962','1586859962','1'
'63222','1431','123483','Компактвэн','1586859963','1586859963','1'
'63223','19288','123502','Кабриолет','1586859964','1586859964','1'
'63224','1453','123499','Компактвэн','1586859966','1586859966','1'
'63225','19617','123501','Кабриолет','1586859969','1586859969','1'
'63226','22881','123498','Кабриолет','1586859972','1586859972','1'
'63227','1501','123507','Компактвэн','1586860023','1586860023','1'
'63228','22882','123512','Кабриолет','1586860029','1586860029','1'
'63229','1536','123513','Тарга','1586860030','1586860030','1'
'63230','2361','123515','Купе','1586860030','1586860030','1'
'63231','2362','123516','Купе','1586860030','1586860030','1'
'63232','22883','123517','Купе','1586860031','1586860031','1'
'63233','20510','123518','Купе','1586860031','1586860031','1'
'63234','20510','123519','Купе','1586860031','1586860031','1'
'63235','1544','123520','Родстер','1586860032','1586860032','1'
'63236','1547','123522','Купе','1586860033','1586860033','1'
'63237','1547','123523','Купе','1586860033','1586860033','1'
'63238','19075','123524','Купе','1586860033','1586860033','1'
'63239','1590','126832','Минивэн','1586860081','1586860081','1'
'63240','1600','123535','Компактвэн','1586860082','1586860082','1'
'63241','22886','123546','Седан','1586860092','1586860092','1'
'63242','22887','123547','Седан','1586860093','1586860093','1'
'63243','2370','123564','Лифтбек','1586860141','1586860141','1'
'63245','1701','123571','Седан','1586860142','1586860142','1'
'63246','20574','123574','Минивэн','1586860142','1586860142','1'
'63247','1727','123604','Микровэн','1586860146','1586860146','1'
'63248','1727','123605','Микровэн','1586860146','1586860146','1'
'63249','1728','123606','Минивэн','1586860146','1586860146','1'
'63250','1728','123607','Минивэн','1586860146','1586860146','1'
'63251','1728','123608','Минивэн','1586860146','1586860146','1'
'63252','1728','123609','Минивэн','1586860146','1586860146','1'
'63253','2231','123610','Седан','1586860146','1586860146','1'
'63254','22891','123616','Минивэн','1586860148','1586860148','1'
'63255','22891','123617','Минивэн','1586860148','1586860148','1'
'63256','20590','123622','Микровэн','1586860152','1586860152','1'
'63257','20590','123623','Микровэн','1586860152','1586860152','1'
'63258','20591','123628','Седан','1586860152','1586860152','1'
'63259','20594','123663','Седан','1586860201','1586860201','1'
'63260','1743','123631','Микровэн','1586860201','1586860201','1'
'63261','1743','123632','Микровэн','1586860201','1586860201','1'
'63262','1743','123633','Микровэн','1586860201','1586860201','1'
'63263','1749','123646','Седан','1586860201','1586860201','1'
'63264','1750','123647','Минивэн','1586860201','1586860201','1'
'63265','1750','123648','Минивэн','1586860201','1586860201','1'
'63266','1755','123652','Микровэн','1586860202','1586860202','1'
'63267','1755','123653','Микровэн','1586860202','1586860202','1'
'63268','20588','123658','Минивэн','1586860203','1586860203','1'
'63269','22893','123660','Купе','1586860203','1586860203','1'
'63270','1741','123662','Компактвэн','1586860204','1586860204','1'
'63271','1810','123669','Седан','1586860385','1586860385','1'
'63272','1821','123699','Седан','1586860391','1586860391','1'
'63273','1824','126793','Седан','1586860392','1586860392','1'
'63274','1826','123709','Седан','1586860441','1586860441','1'
'63275','1839','123721','Минивэн','1586860444','1586860444','1'
'63276','2193','123765','Седан','1586860564','1586860564','1'
'63277','2199','123769','Компактвэн','1586860565','1586860565','1'
'63278','2199','123770','Компактвэн','1586860565','1586860565','1'
'63279','2217','126217','Седан','1586860682','1586860682','1'
'63280','1796','123791','Седан','1586860864','1586860864','1'
'63281','1796','123792','Седан','1586860864','1586860864','1'
'63282','1799','126224','Седан','1586860982','1586860982','1'
'63283','1799','126225','Седан','1586860982','1586860982','1'
'63284','1813','123810','Купе','1586861342','1586861342','1'
'63285','1815','126241','Седан','1586861343','1586861343','1'
'63286','1816','123816','Седан','1586861401','1586861401','1'
'63287','1816','123817','Седан','1586861401','1586861401','1'
'63288','1816','123818','Седан','1586861401','1586861401','1'
'63289','20635','123819','Седан','1586861462','1586861462','1'
'63290','22896','123820','Купе','1586861582','1586861582','1'
'63291','20640','126797','Купе','1586861643','1586861643','1'
'63292','20640','126798','Купе','1586861643','1586861643','1'
'63293','20640','126799','Купе','1586861643','1586861643','1'
'63294','20640','126800','Купе','1586861643','1586861643','1'
'63295','2376','123826','Компактвэн','1586861702','1586861702','1'
'63296','2376','6319','Компактвэн','1586861702','1586861702','1'
'63297','20641','123827','Седан','1586861762','1586861762','1'
'63298','20641','123828','Седан','1586861762','1586861762','1'
'63299','1831','123711','Минивэн','1586862002','1586862002','1'
'63300','1831','123712','Минивэн','1586862002','1586862002','1'
'63301','1831','123713','Минивэн','1586862002','1586862002','1'
'63302','1831','123714','Минивэн','1586862002','1586862002','1'
'63303','20643','123837','Седан','1586862062','1586862062','1'
'63304','22898','123839','Компактвэн','1586862064','1586862064','1'
'63305','22899','123840','Минивэн','1586862182','1586862182','1'
'63306','22900','123841','Купе','1586862302','1586862302','1'
'63307','22900','123842','Купе','1586862302','1586862302','1'
'63308','2149','123847','Минивэн','1586862544','1586862544','1'
'63309','22901','123848','Минивэн','1586862722','1586862722','1'
'63310','20649','123849','Минивэн','1586862842','1586862842','1'
'63311','2161','123851','Кабриолет','1586863142','1586863142','1'
'63312','22902','123856','Микровэн','1586863321','1586863321','1'
'63313','23302','124708','Микровэн','1586863382','1586863382','1'
'63314','23302','124709','Микровэн','1586863382','1586863382','1'
'63315','2167','123857','Седан','1586863562','1586863562','1'
'63316','2167','123858','Седан','1586863562','1586863562','1'
'63317','2167','123860','Седан','1586863562','1586863562','1'
'63318','2282','123869','Минивэн','1586863684','1586863684','1'
'63319','20653','123871','Седан','1586863862','1586863862','1'
'63320','20653','123872','Купе','1586863862','1586863862','1'
'63321','20653','123873','Купе','1586863862','1586863862','1'
'63322','23315','126802','Микровэн','1586864102','1586864102','1'
'63323','2186','123875','Компактвэн','1586864342','1586864342','1'
'63325','22904','123876','Компактвэн','1586864462','1586864462','1'
'63326','20658','123877','Тарга','1586864522','1586864522','1'
'63327','2192','123880','Купе','1586864584','1586864584','1'
'63328','2192','126858','Купе','1586864584','1586864584','1'
'63329','2192','126859','Купе','1586864584','1586864584','1'
'63330','22905','123888','Микровэн','1586864703','1586864703','1'
'63331','22906','123889','Минивэн','1586864762','1586864762','1'
'63332','2235','126959','Минивэн','1586865245','1586865245','1'
'63333','1915','126960','Минивэн','1586865367','1586865367','1'
'63334','1929','123906','Компактвэн','1586865664','1586865664','1'
'63335','2236','126961','Фургон','1586865721','1586865721','1'
'63336','2234','126962','Минивэн','1586865962','1586865962','1'
'63337','22908','123900','Минивэн','1586866023','1586866023','1'
'63338','22908','123901','Минивэн','1586866023','1586866023','1'
'63339','22909','123912','Компактвэн','1586866085','1586866085','1'
'63340','22909','123913','Компактвэн','1586866085','1586866085','1'
'63341','22911','123915','Седан','1586866201','1586866201','1'
'63342','22912','123916','Купе','1586866262','1586866262','1'
'63343','22912','123917','Купе','1586866262','1586866262','1'
'63344','22914','123920','Седан','1586866502','1586866502','1'
'63345','22918','123924','Седан','1586866561','1586866561','1'
'63346','22917','123928','Седан','1586867053','1586867053','1'
'63347','20697','123930','Купе','1586867107','1586867107','1'
'63348','22920','123931','Кабриолет','1586867161','1586867161','1'
'63349','22921','124614','Купе','1586867401','1586867401','1'
'63350','22923','124618','Седан','1586867702','1586867702','1'
'63351','22924','124619','Внедорожник','1586867761','1586867761','1'
'63352','22925','124620','Универсал','1586867822','1586867822','1'
'63353','22491','124621','Внедорожник','1586867881','1586867881','1'
'63354','22926','124622','Седан','1586868002','1586868002','1'
'63355','22927','124623','Кабриолет','1586868063','1586868063','1'
'63356','4','123939','Родстер','1586868302','1586868302','1'
'63357','8','123941','Седан','1586868542','1586868542','1'
'63358','14','123945','Седан','1586868665','1586868665','1'
'63359','14','123947','Седан','1586868665','1586868665','1'
'63360','15','123948','Седан','1586868722','1586868722','1'
'63361','2265','123949','Седан','1586868902','1586868902','1'
'63362','22573','123950','Седан','1586868963','1586868963','1'
